"entity_id","type","value"
"001","prog_sped","Behavior Support Class"
"001","prog_sped","Skills for Learning and Living"
"002","prog_sped","Behavior Support Class"
"002","prog_sped","Structured Learning Class / Transistion Readiness with Essential Skills_Alternative"
"002","prog_sped","Structured Learning Class / Transistion Readiness with Essential Skills_Standard Trek"
"002","prog_sped","Skills for Learning and Living"
"003","prog_sped","Behavior Support Class"
"003","prog_sped","Structured Learning Class / Transistion Readiness with Essential Skills_Alternative"
"003","prog_sped","Skills for Learning and Living"
"004","prog_sped","Behavior Support Class"
"004","prog_sped","Skills for Learning and Living"
"006","prog_sped","Preparing Students for Independence"
"006","prog_sped","Structured Learning Class / Transistion Readiness with Essential Skills_Alternative"
"006","prog_sped","Transistion Programs_18-22_Campus-Based"
"007","prog_sped","Behavior Support Class"
"007","prog_sped","Structured Learning Class / Transistion Readiness with Essential Skills_Alternative"
"007","prog_sped","Skills for Learning and Living"
"008","prog_sped","Structured Learning Class / Transistion Readiness with Essential Skills_Alternative"
"008","prog_sped","Structured Learning Class / Transistion Readiness with Essential Skills_Standard Trek"
"008","prog_sped","Skills for Learning and Living"
"008","prog_sped","Standalone Campus Program_SOAR_Student Oppurtunities for Alternative Redirection"
"009","prog_sped","Behavior Support Class"
"009","prog_sped","Skills for Learning and Living"
"010","prog_sped","Behavior Support Class"
"010","prog_sped","Preparing Students for Independence"
"010","prog_sped","Structured Learning Class / Transistion Readiness with Essential Skills_Alternative"
"010","prog_sped","Skills for Learning and Living"
"011","prog_sped","Behavior Support Class"
"011","prog_sped","Skills for Learning and Living"
"011","prog_sped","Standalone Campus Program_Region 4 RDSPD"
"012","prog_sped","Behavior Support Class"
"012","prog_sped","Structured Learning Class / Transistion Readiness with Essential Skills_Standard Trek"
"012","prog_sped","Skills for Learning and Living"
"013","prog_sped","Skills for Learning and Living"
"014","prog_sped","Behavior Support Class"
"014","prog_sped","Structured Learning Class / Transistion Readiness with Essential Skills_Alternative"
"014","prog_sped","Structured Learning Class / Transistion Readiness with Essential Skills_Standard Trek"
"014","prog_sped","Skills for Learning and Living"
"014","prog_sped","Transistion Programs_18-22_Campus-Based"
"015","prog_sped","Behavior Support Class"
"015","prog_sped","Structured Learning Class / Transistion Readiness with Essential Skills_Alternative"
"015","prog_sped","Structured Learning Class / Transistion Readiness with Essential Skills_Standard Trek"
"015","prog_sped","Skills for Learning and Living"
"016","prog_sped","Behavior Support Class"
"016","prog_sped","Preparing Students for Independence"
"016","prog_sped","Skills for Learning and Living"
"017","prog_sped","Behavior Support Class"
"017","prog_sped","Structured Learning Class / Transistion Readiness with Essential Skills_Alternative"
"017","prog_sped","Skills for Learning and Living"
"018","prog_sped","Behavior Support Class"
"018","prog_sped","Preparing Students for Independence"
"018","prog_sped","Skills for Learning and Living"
"018","prog_sped","Transistion Programs_18-22_Campus-Based"
"019","prog_sped","Behavior Support Class"
