campus_number,BSC,ECSE,Explore,PSI,SLC-ALT,SLC-STD TREK,SLL,ST1: Direct,ST2: Indirect,ST3: Collaborative/Inclusive,Region 4 RDSPD
1,1,,,,,,1,,,,
2,1,,,,1,1,1,,,,
3,1,,,,1,,1,,,,
4,1,,,,,,1,,,,
6,,,,1,1,,,,,,
7,1,,,,1,,1,,,,
8,,,,,1,1,1,,,,
9,1,,,,,,1,,,,
10,1,,,1,1,,1,,,,
11,1,,,,,,1,,,,1
12,1,,,,,1,1,,,,
13,,,,,,,1,,,,
14,1,,,,1,1,1,,,,
15,1,,,,1,1,1,,,,
16,1,,,1,,,1,,,,
17,1,,,,1,,1,,,,
18,1,,,1,,,1,,,,
19,1,,,,1,,1,,,,
20,1,,,1,1,,1,,,,
23,1,,,,1,,1,,,,
24,,,,1,1,,1,,,,
25,,,,,,,,,,,
26,,,,,,,,,,,
27,1,,,1,,1,1,,,,
34,,,,,1,,,,,,
36,1,,,,1,1,1,,,,
39,,,,1,,,,,,,
41,1,,,,,,1,,,,
42,,,,,,1,1,,,,
43,,,,,,1,1,,,,
44,1,,,,,,1,,,,
45,1,,,,,,1,,,,1
46,,,,1,,1,1,,,,
47,1,,,1,,,1,,,,
48,1,,,,,,1,,,,
49,1,,,,,1,1,,,,
50,1,,,,,,1,,,,
51,1,,,,,1,1,,,,
52,1,,,,1,1,1,,,,
53,,,,1,1,,1,,,,
54,1,,,,,,1,,,,
55,,,,,1,1,1,,,,
56,,,,1,1,,1,,,,
57,,,,,,1,1,,,,
58,1,1,,,,,,,,,1
59,,,,,,,1,,,,
60,1,,,,1,,1,,,,
61,1,,,,,,1,,,,
62,1,,,,1,,1,,,,
64,1,,,,,1,1,,,,
68,,,,,,1,1,,,,
69,,,,,1,,1,,,,
71,,,,,,,,,,,
72,1,,,,,,1,,,,
75,1,,,1,1,,1,,,,
77,1,,,,1,,1,,,,
78,1,,,,,,1,,,,
79,1,,,,1,,1,,,,
80,,,,,1,,,,,,
81,,,,,,,1,,,,
82,1,,,,,,1,,,,
97,,,,,,,1,,,,
98,1,,,,,,1,,,,
99,1,,,1,,1,1,,,,
100,,,,,,,,,,,
102,,1,,,,,1,,,,
104,,1,,,,1,,,,,
105,1,1,,,,,1,,,,
106,,1,,,,,1,,,,
107,,,1,,,,1,,,,
108,,1,,,1,,,,,,
109,1,1,,,,,,,,,
110,,1,,,,,1,,,,
111,1,,,,,,1,,,,
112,,1,,,,,1,,,,
113,1,1,,,1,,1,,,,
